model,split,accuracy,precision,recall_fake,f1,roc_auc
RandomForest_Enhanced,validation,0.9978768577494692,0.9957716701902748,1.0,0.9978813559322034,0.9999712005946202
RandomForest_Enhanced,testing,0.5119485294117647,0.8095238095238095,0.03125,0.06017699115044248,0.7869691419766436
